Status,EURING_Code,Current_Name,Date_Updated,Notes,Old_Name,IOC,English_Name
sp,31980,Estrilda paludicola,02.06.2008,,Estrilda paludicola,33607,Fawn-breasted Waxbill
sp,31990,Estrilda poliopareia,02.06.2008,,Estrilda poliopareia,33605,Anambra Waxbill
sp,32000,Euplectes ardens,02.06.2008,,Euplectes ardens,33299,Red-collared Widowbird
sp,32010,Euplectes axillaris,02.06.2008,,Euplectes axillaris,33276,Fan-tailed Widowbird
sp,32020,Euplectes capensis,02.06.2008,,Euplectes capensis,33268,Yellow Bishop
sp,32030,Euplectes hartlaubi,02.06.2008,,Euplectes hartlaubi,33289,Marsh Widowbird
sp,32040,Euplectes hordeaceus,02.06.2008,,Euplectes hordeaceus,33257,Black-winged Red Bishop
sp,32050,Euplectes macroura,02.06.2008,,Euplectes macrourus,33284,Yellow-mantled Widowbird
sp,32060,Lissotis melanogaster,02.06.2008,,Eupodotis melanogaster,3848,Black-bellied Bustard
sp,32070,Lophotis ruficrista,02.06.2008,,Eupodotis ruficrista,3838,Red-crested Korhaan
sp,32080,Eupodotis senegalensis,02.06.2008,,Eupodotis senegalensis,3818,White-bellied Bustard
sp,32090,Eurystomus gularis,02.06.2008,,Eurystomus gularis,10249,Blue-throated Roller
sp,32100,Euschistospiza dybowskii,02.06.2008,,Euschistospiza dybowskii,33726,Dybowski's Twinspot
sp,32110,Falco alopex,02.06.2008,,Falco alopex,12914,Fox Kestrel
sp,32120,Falco ardosiaceus,02.06.2008,,Falco ardosiaceus,12915,Grey Kestrel
sp,32130,Falco cuvierii,02.06.2008,,Falco cuvierii,12950,African Hobby
sp,32140,Fraseria ocreata,02.06.2008,,Fraseria ocreata,30982,Fraser's Forest Flycatcher
sp,32150,Galerida modesta,02.06.2008,,Galerida modesta,24309,Sun Lark
sp,32160,Paragallinula angulata,02.06.2008,,Gallinula angulata,5891,Lesser Moorhen
sp,32170,Glareola cinerea,02.06.2008,,Glareola cinerea,6892,Grey Pratincole
sp,32180,Glareola nuchalis,02.06.2008,,Glareola nuchalis,6889,Rock Pratincole
sp,32190,Glaucidium perlatum,02.06.2008,,Glaucidium perlatum,9170,Pearl-spotted Owlet
sp,32200,Glaucidium sjostedti,02.06.2008,,Glaucidium sjostedti,9180,Sjöstedt's Barred Owlet
sp,32210,Calherodius leuconotus,02.06.2008,,Gorsachius leuconotus,7989,White-backed Night Heron
o,32220,Obsolete code,02.06.2008,Duplicated species; use 04410,Grus virgo,NA,NA
sp,32230,Guttera pucherani,02.06.2008,,Guttera pucherani,803,Eastern Crested Guineafowl
sp,32240,Gymnobucco calvus,02.06.2008,,Gymnobucco calvus,11443,Naked-faced Barbet
sp,32250,Gymnobucco peli,02.06.2008,,Gymnobucco peli,11442,Bristle-nosed Barbet
sp,32260,Gypohierax angolensis,02.06.2008,,Gypohierax angolensis,8155,Palm-nut Vulture
sp,32270,Gyps africanus,02.06.2008,,Gyps africanus,8244,White-backed Vulture
sp,32280,Halcyon badia,02.06.2008,,Halcyon badia,10417,Chocolate-backed Kingfisher
sp,32300,Halcyon chelicuti,02.06.2008,,Halcyon chelicuti,10436,Striped Kingfisher
sp,32310,Halcyon malimbica,02.06.2008,,Halcyon malimbica,10440,Blue-breasted Kingfisher
sp,32320,Halcyon senegalensis,02.06.2008,,Halcyon senegalensis,10447,Woodland Kingfisher
sp,32330,Buteogallus coronatus,02.06.2008,,Harpyhaliaetus coronatus,8729,Chaco Eagle
sp,32340,Prinia erythroptera,02.06.2008,,Heliolais erythroptera,26730,Red-winged Prinia
sp,32350,Hieraaetus ayresii,02.06.2008,,Hieraaetus ayresii,8358,Ayres's Hawk-Eagle
sp,32360,Aquila spilogaster,02.06.2008,,Hieraaetus spilogaster,8388,African Hawk-Eagle
sp,32370,Himantornis haematopus,02.06.2008,,Himantornis haematopus,6098,Nkulengu Rail
sp,32380,Cecropis abyssinica,02.06.2008,,Hirundo abyssinica,25319,Lesser Striped Swallow
sp,32390,Hirundo aethiopica,02.06.2008,,Hirundo aethiopica,25269,Ethiopian Swallow
o,32400,Obsolete code,02.06.2008,Duplicated species; use 09952,Hirundo domicella,NA,NA
o,32410,Obsolete code,02.06.2008,Duplicated species; use 09900,Hirundo fuligula,NA,NA
sp,32420,Hirundo leucosoma,02.06.2008,,Hirundo leucosoma,25249,Pied-winged Swallow
