Totaal,Handsoorten,,"Terug-
vangst",Landen,,Kleurring,Locaties,Vangmethoden,Aantal zelf geringd,,,,,
,30,,,4,,1,3,2,,0,uniek,9,1,0
103,,,31,,,4,,,18,0,door mij,18,1,0
Datum,Soort,"Nieuwe
projectsoort","Terug-
vangst",Buitenland,Ringnummer,Kleurring,Locatie,Vangmethode,Ringer,"Zoönose
door mij",Bijzonderheid,Ringsoorten,Kleurring,Zoönose
,,,j,land,,kleurcode,,,,j,,,,
28-05-2023,Heggenmus,3,j,Duitsland,91046652,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Kleine Karekiet,10,j,Duitsland,90836948,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Geelgors,2,,Duitsland,T107922,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Heggenmus,4,,Duitsland,91046706,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Tuinfluiter,4,j,Duitsland,91046665,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Zwartkop,6,,Duitsland,91046707,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Kleine Karekiet,11,j,Duitsland,90836716,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Kleine Karekiet,12,j,Duitsland,91046701,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Bosrietzanger,9,j,Duitsland,90836869,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Bosrietzanger,10,j,Duitsland,90836880,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
28-05-2023,Bosrietzanger,11,,Duitsland,91046708,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
18-07-2024,Chileense Flamingo,1,,Duitsland,278371,ZT41,"Zwilbrock, Duitsland",Hand,Susanne Homma,,,,,
18-07-2024,Chileense Flamingo,2,,Duitsland,278372,ZT42,"Zwilbrock, Duitsland",Hand,Susanne Homma,,,,,
18-07-2024,Chileense Flamingo,3,,Duitsland,278373,ZT43,"Zwilbrock, Duitsland",Hand,Susanne Homma,,,,,
22-02-2025,Zwartkopwever,1,j,Engeland,,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Zwartkopwever,,
22-02-2025,Rietzanger,1,,Engeland,AZX0374,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Rietzanger,,
22-02-2025,Rietzanger,2,,Engeland,AZX0376,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Rietzanger,,
22-02-2025,Rietzanger,3,,Engeland,AZX0377,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Rietzanger,,
22-02-2025,Grasmus,1,,Engeland,AZX0383,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Grasmus,,
22-02-2025,Zwartkopwever,2,j,Engeland,BX32547,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Zwartkopwever,,
22-02-2025,Grote Textorwever,1,,Engeland,AP16048,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Grote Textorwever,,
22-02-2025,Grote Textorwever,2,,Engeland,AP16055,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Grote Textorwever,,
22-02-2025,Zwartkopwever,3,j,Engeland,BT22473,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Zwartkopwever,,
22-02-2025,Grote Textorwever,3,,Engeland,NP16063,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Grote Textorwever,,
22-02-2025,Grote Textorwever,4,,Engeland,NP16066,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Grote Textorwever,,
22-02-2025,Zwartkopwever,4,j,Engeland,BY03132,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Zwartkopwever,,
22-02-2025,Sporenkievit,1,,Engeland,D-B86440,Y/CT,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Sporenkievit,Sporenkievit,
22-02-2025,Pelioslijster,1,,Engeland,LN27358,,"Kartong, Gambia",Mistnet,Thijs ter Avest,,,Pelioslijster,,
22-02-2025,Hop,1,,Engeland,,,"Kartong, Gambia",Mistnet,Olly Fox,,,,,
22-02-2025,Oranjekaakje,1,,Engeland,,,"Kartong, Gambia",Mistnet,Olly Fox,,,,,
22-02-2025,Groene Langstaartglansspreeuw,1,,Engeland,,,"Kartong, Gambia",Mistnet,Olly Fox,,,,,
22-02-2025,Ornaathoningzuiger,1,,Engeland,,,"Kartong, Gambia",Mistnet,Olly Fox,,,,,
22-02-2025,Groenbuikfeeënhoningzuiger,1,,Engeland,,,"Kartong, Gambia",Mistnet,Olly Fox,,,,,
22-02-2025,Groenrugermomela,1,,Engeland,,,"Kartong, Gambia",Mistnet,Olly Fox,,,,,
22-02-2025,Senegalijsvogel,1,,Engeland,,,"Kartong, Gambia",Mistnet,Olly Fox,,,,,
22-02-2025,Zwartkop,7,,Engeland,,,"Kartong, Gambia",Mistnet,Olly Fox,,,,,
22-02-2025,Roodbekwever,1,,Engeland,,,"Kartong, Gambia",Mistnet,Olly Fox,,,,,
22-02-2025,Oeverloper,1,,Engeland,,,"Kartong, Gambia",Mistnet,Olly Fox,,,,,
22-02-2025,Afrikaanse Dwergijsvogel,1,,Engeland,,,"Kartong, Gambia",Mistnet,Olly Fox,,,,,
